2022/11/26 22:58:29 IP: 127.0.0.1:62559 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 15:16:23 IP: 127.0.0.1:56947 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 15:19:58 IP: 127.0.0.1:57232 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 15:19:58 IP: 127.0.0.1:57232 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 15:22:45 IP: 127.0.0.1:57283 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 15:22:45 IP: 127.0.0.1:57283 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 15:39:27 IP: 127.0.0.1:58803 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 15:39:27 IP: 127.0.0.1:58803 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 15:39:38 IP: 127.0.0.1:57846 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 15:39:38 IP: 127.0.0.1:57846 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 15:39:58 IP: 127.0.0.1:58834 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 15:39:58 IP: 127.0.0.1:58834 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 15:40:43 IP: 127.0.0.1:58839 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 15:40:43 IP: 127.0.0.1:58839 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 15:43:27 IP: 127.0.0.1:58889 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 15:43:27 IP: 127.0.0.1:58889 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 18:00:35 IP: 127.0.0.1:57033 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 18:00:35 IP: 127.0.0.1:57033 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 18:02:30 IP: 127.0.0.1:51801 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 18:02:30 IP: 127.0.0.1:51801 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 18:04:37 IP: 127.0.0.1:51875 | Code: 40005 | Error info: [websocket: close sent]
2022/12/09 18:04:37 IP: 127.0.0.1:51875 | Code: 40005 | Error info: [websocket: close sent]
